"Stat","Variable","DM","ENC-HLN"
"$R_{T}$","AC$_{t+1}$","28.532***","6.769***"
"$R_{T}$","SV$_{t+1}$","8.874***","1.838***"
"$R_{T}$","AV$_{t+1}$","34.347***","18.197***"
"$R_{T}$","RET$_{t+1}$","29.124***","4.871***"
"$A_{T}$","AC$_{t+1}$","19.867***","1.828***"
"$A_{T}$","SV$_{t+1}$","2.647***","0.949***"
"$A_{T}$","AV$_{t+1}$","21.751***","10.7***"
"$A_{T}$","RET$_{t+1}$","13.347***","1.68***"
,,,
,,,
"Stat","Variable","DM2","ENC-HLN2"
"$R_{T}$","AC$_{t+1}$","27.398***","8.706**"
"$R_{T}$","SV$_{t+1}$","21.92***","3.973"
"$R_{T}$","AV$_{t+1}$","34.292***","29.804***"
"$R_{T}$","RET$_{t+1}$","15.964***","3.884"
"$A_{T}$","AC$_{t+1}$","8.08***","1.542"
"$A_{T}$","SV$_{t+1}$","8.218***","2.062"
"$A_{T}$","AV$_{t+1}$","21.631***","19.449***"
"$A_{T}$","RET$_{t+1}$","9.209***","1.78"
